...When the Darkness Weeps;2023
0 Existence;2010
:Nihus:;2016
A Chance at Life;2026
A Dark Thought;2019
A Hopeless Voice;2025
A Mátar;2024
Abandono;2024
Abhorrent Void;2025
Ableben;2020
Abstinence;2010
Absurdoom;2013
Abyss of Animas;2023
Abyssal Veil;2025
Act Happy;2020
Adalhem;2021
Aeterna Ordo Mortis;2025
Agonia;2019
Ahakay n' Bror;2007
Aleere;2019
All Alone;2022
Allorous;2018
Alternative-ToD;2017
Alyssa Blak;2025
Amfarek;2013
Ammophila;2017
Anachitis;2020
Anaplasmataceae;2016
Andrarakh;2012
Aneurysm;2025
Angstkrise;2023
Anhan;2025
Anhedonia Nocturne;2025
Anjana;2017
Anti;2021
Antilife;2025
Anämie;2023
Aphasiac;2018
Aranyhid;2025
Argwaan;2024
As I Die;2023
Asbel;2025
Askefruer;2019
Aspirtafio;2013
Astral Seas;2015
At Dusk;2019
Audioharm;2023
Autodestrutivo;2026
Autophagocytosis;2024
Autumn Suicide;2024
Ave Morphys;2011
Awren;2016
Azathoth;2022
Aþigra;2022
Bane;2025
Bartzabel;2024
Be Happy...;2024
Be Persecuted;2023
Bedeiah;2017
Begotten;2025
Behënium;2026
Belittled;2024
Besathett;2023
Beyond Light;2014
Bios Polemos;2013
Birth Of Suicide;2009
Black Bile;2023
Black Sodomy;2014
Blackthorn Suffering;2014
Bled;2020
Bleeding Solitude;2010
Blood Kink;2025
Blòt;2024
Bolvangar;2021
Borderline Personality Disorder;2022
Borta;2021
Bovary;2023
Brist;2022
Broyeur d'Enfance;2022
Bughuul;2021
Buried Beneath the Oak;2024
Caecus;2023
Cancer;2020
Carpathian Occult Session;2023
Cegados por el Miedo;2022
Cenestenia;2020
Chapters of Misery;2024
ChernoMor;2024
Chryzantemum;2020
Circle of Ghosts;2023
Clonazepam;2021
Cold;2026
Cold Frozen Grave;2015
Cold Inside;2025
Cold July;2026
Coldness;2024
ColdWinterSorrow;2025
Cormok;2020
Cotard;2015
Craving for the End...;2025
