product; price
Notebook ASUS Vivobook 15 M1502YA AMD Ryzen 7 5825U 16GB Ram 512GB SSD Linux KeepOS 15,6" FHD Cool Silver - NJ612;3.537
Notebook ASUS Vivobook Go 15, Intel Celeron Dual Core N4500, 4GB RAM, 128GB EMMC, Windows 11 Home, Tela 15.6" Led, Star Black - E510KA-BR808WS;4.024
Notebook ASUS TUF Gaming A16 FA608PM RTX5060 AMD Ryzen 9 8940HX 16G RAM 512GB SSD W11 16" 165Hz Gray - RV075W;6.799
Notebook Positivo Vision C15M Intel Celeron N4500 Windows 11 Home 4GB RAM 128GB EMMC Tela 15 Full HD IPS Antirreflexo - Minitela E Tecla Copilot - Permite Upgrade De Memória SSD - Cinza;5.395
MacBook Neo de 13 polegadas: Chip A18 Pro, CPU de 6 núcleos, GPU de 5 núcleos, 256GB - Prateado - Distribuidor Autorizado;3.999
Notebook Vaio Fe16 Intel Core I5 13ª Gen Windows 11 Home 16gb 512gb Ssd Wi-fi 6 Tela 16" Ips Wuxga Antirreflexo - Cinza Grafite - Vjfe62f11x-b0321h - Memória Expansível Até 64gb;3.167
Notebook Multi Ultra Celeron N4020c 4gb 128gb W11 14'' Cinza;3.559
Notebook Positivo Vision R15m Amd Ryzen 5-5625u Linux 8gb Ram 256gb Ssd Wi-fi 6 Tela 15 Full Hd Ips Antirreflexo - Permite Upgrade De Memória Ram E Ssd - Preto;355
Notebook ASUS Vivobook Go 15 E1504, AMD RYZEN 5 7520U 2,8 GHz, 8GB Ram, 256GB SSD, Windows 11 Home, Tela 15,6" FHD, Black - E1504FA-NJ825W;7.000
Notebook Acer Aspire 5 A515-45-r2a3 R5 8gb 512gb Ssd 15,6';2.199
Notebook Gamer Acer Nitro V ANV15-51-57WS Intel® Core™ i5-13420H 13ªGeração 512SSD 8GB Nvidia® GeForce® RTX 3050 GDDR6 Linux Gutta 15,6';2.499
Notebook Asus Vivobook 15 X1504va Intel Core I5 1334u 4gb Ram 256gb Ssd Linux Keepos Tela 15,6 Led Fhd Silver - Nj1726;249
Notebook Asus X515 Intel Celeron Dual Core N4500 4GB Ram 128GB SSD Windows 11 Home Tela 15,6 Slate Grey - X515KA-BR309WS;12.499
Notebook ASUS TUF Gaming F16 FX608JHR NVIDIA RTX 5050 Intel Core i5 14a 16GB RAM 512GB SSD Windows 11 Home Tela 16" LED FHD 165Hz Gray - RV122W;10.679
Notebook Positivo Vision C15M Intel Celeron N4500 Linux 8GB RAM 256GB eMMC Tela 15" Full HD IPS Antirreflexo – com Minitela - Cinza;11.999
Notebook Asus Tuf Gaming A15 Rtx3050 Ryzen 7 8gb 512gb Linux;1.199
Notebook Lenovo Ideapad 1i Celeron Office 365 4gb 128gb W11;2.599
Notebook Asus Vivobook 15 X1504va Intel Core I5 1334u 16gb Ram 512gb Ssd Linux Keepos Intel Iris Xe Tela 15,6 Led Fhd Blue - Nj1746;2.049
Notebook Vaio Fe16 Amd Ryzen 7-5825u Linux 16gb RAM 512gb Ssd Wi-Fi 6 Tela 16" Ips Wuxga Antirreflexo Cinza Grafite Vjfe69f11xb0121h - Permite upgrade de memória RAM e SSD;204
Notebook Asus Vivobook 15 X1504va Intel Core I5 1334u 8gb Ram 512gb Ssd Intel Iris Xe Windows 11 Home Tela 15,6 Fhd Silver - Nj1740w;7.299
