product; price
Notebook, Windows 11 Home, Tela 15,6 Pol HD, Celeron N4020C, Memória 4GB/128GB, Microsoft 365, Ultra - UB261;1.504
Notebook Gamer Acer Nitro V15 ANV15-51-57WS i5 13ªGen Linux Gutta 8GB 512GB SSD RTX3050 15.6' FHD;4.814
Notebook ASUS Vivobook 15 X1504VA Intel Core i5 1334U 8GB Ram 512GB SSD Windows 11 Tela 15,6" FHD Silver - NJ1740W;3.404
Notebook Lenovo IdeaPad Slim 3 15IRH10 Intel Core i7-13620H 24GB 512GB SSD Windows 11 15.3" - 83NS0008BR Luna Grey;5.023
Notebook ASUS VivoBook Go 15, AMD RYZEN 5 7520U, 8GB, 512GB SSD, KeepOS, Tela 15,6" FHD, Mixed Black - E1504FA-NJ732;2.840
Notebook Intel Celeron 8gb Ram 256 Gb Ssd Laptop 1920x1080 FHD 14in;1.839
Notebook ASUS Vivobook 15, Intel Core i5, 16 GB, 512 GB SSD W11 Home, 15.6'' FHD, Quiet Blue -X1504VA-NJ1745W;4.171
Notebook ASUS Vivobook 15 X1504VA Intel Core i5 1334U 8Gb Ram 256GB SSD Linux KeepOS Intel Iris Xe Tela 15,6" LED FHD Silver - NJ1739;2.658
Notebook Dell Inspiron I15-I1300-A30P 15.6" Full HD 13ª Gen Intel Core i5 8GB 512GB SSD Win 11 Preto Carbono;3.822
Notebook ASUS VIVOBOOK GO 15, INTEL CELERON DUAL CORE N4500, 4 GB, 128 GB SSD W11 Home, 15,60" LED, Star Black - E510KA-BR808WS;1.958
Notebook ASUS Vivobook GO 15, Intel Celeron Dual Core N4500, 4 GB, 128 GB SSD, W11 Home, 15,60" LED, Rose Pink - E510KA-BR833WS;2.041
Notebook, Windows 11 Home, Tela 15,6 Pol HD, Celeron N4020C, Memória 4GB/128GB, Microsoft 365, Ultra - UB261;1.504
Notebook Asus Vivobook Go E1504fa Amd Ryzen 5 7520u 8gb Ram 256gb Ssd Windows 11 Tela 15,6" Fhd Black - Nj825w;2.834
Notebook ASUS VivoBook Go 15, AMD RYZEN 5 7520U, 8GB, 256GB SSD, KeepOS, Tela 15,6" FHD, Mixed Black - E1504FA-NJ731;3.038
Notebook ASUS Vivobook 15 M1502YA AMD Ryzen 7 5825U 8GB Ram 512GB SSD Linux KeepOS 15,6" FHD Cool Silver - NJ611;3.229
Notebook Ultra, Windows 11 Home, Processador Intel Celeron, 128GB 4GB, Tela 11.6 Pol. HD - UB210;1.439
Notebook Lenovo IdeaPad Slim 3 15IRU10 Intel Core 3 100U 8GB 256GB SSD Linux 15.3" - 83NUS00000 Luna Grey;2.600
Notebook ASUS Vivobook Go 15, Intel Core i3 N305, 4GB, 128GB SSD, W11 Home, Tela 15.6" FHD Cool Silver - E1504GA-NJ440W;2.467
Notebook Dell Inspiron i15-i3100-A15P 15.6" Full HD Intel Core 3-100U 8GB 512GB SSD Win Home Preto Carbono;3.360
Notebook HP 256R G9 Intel Core i3 1315U 13º Geração. Memória RAM 8GB. SSD 256GB. Tela de 15,6" LCD. Windows 11 - Home SL - Cinza Escuro. Bivolt. (BQ9K8AT#AK4);2.782
